images_150 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.5151, nll : +0.0471, mse_loss : +0.0521, l1_loss : +0.1682, perceptual_edge_loss : +0.0000, psnr : +11.9281, ssim : +0.2404
images_150 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.5647, nll : +0.0457, mse_loss : +0.0181, l1_loss : +0.0837, perceptual_edge_loss : +0.0000, psnr : +16.0927, ssim : +0.4271
images_150 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.2237, nll : +0.0446, mse_loss : +0.0140, l1_loss : +0.0719, perceptual_edge_loss : +0.0000, psnr : +16.9221, ssim : +0.5034
images_150 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.1703, nll : +0.0447, mse_loss : +0.0134, l1_loss : +0.0699, perceptual_edge_loss : +0.0000, psnr : +17.2798, ssim : +0.5054
images_150 : Stage: [2/5], Iter: [100/200], ftr_loss : +1.0003, nll : +0.0442, mse_loss : +0.0126, l1_loss : +0.0669, perceptual_edge_loss : +0.0000, psnr : +17.3860, ssim : +0.5365
images_150 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.8367, nll : +0.0437, mse_loss : +0.0111, l1_loss : +0.0618, perceptual_edge_loss : +0.0000, psnr : +17.8595, ssim : +0.5647
images_150 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.8692, nll : +0.0437, mse_loss : +0.0120, l1_loss : +0.0652, perceptual_edge_loss : +1.2365, psnr : +17.4463, ssim : +0.5534
images_150 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.5722, nll : +0.0437, mse_loss : +0.0102, l1_loss : +0.0579, perceptual_edge_loss : +1.1764, psnr : +18.0461, ssim : +0.5890
images_150 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.5774, nll : +0.0437, mse_loss : +0.0095, l1_loss : +0.0556, perceptual_edge_loss : +1.1277, psnr : +18.3192, ssim : +0.6023
images_150 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.5503, nll : +0.0437, mse_loss : +0.0098, l1_loss : +0.0560, perceptual_edge_loss : +0.1121, psnr : +18.1663, ssim : +0.5969
images_150 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.5234, nll : +0.0437, mse_loss : +0.0097, l1_loss : +0.0558, perceptual_edge_loss : +0.1121, psnr : +18.1288, ssim : +0.6015
images_150 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.5284, nll : +0.0437, mse_loss : +0.0090, l1_loss : +0.0534, perceptual_edge_loss : +0.1104, psnr : +18.4500, ssim : +0.6153
images_150 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.5190, nll : +0.0437, mse_loss : +0.0094, l1_loss : +0.0551, perceptual_edge_loss : +0.0113, psnr : +18.2457, ssim : +0.6086
images_150 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.4257, nll : +0.0437, mse_loss : +0.0075, l1_loss : +0.0492, perceptual_edge_loss : +0.0106, psnr : +18.9057, ssim : +0.6446
images_150 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.4220, nll : +0.0437, mse_loss : +0.0070, l1_loss : +0.0479, perceptual_edge_loss : +0.0106, psnr : +19.0834, ssim : +0.6554
images_151 : Stage: [1/5], Iter: [1/200], ftr_loss : +3.7361, nll : +0.0411, mse_loss : +0.0655, l1_loss : +0.1719, perceptual_edge_loss : +0.0000, psnr : +10.6227, ssim : +0.3766
images_151 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.3945, nll : +0.0390, mse_loss : +0.0126, l1_loss : +0.0626, perceptual_edge_loss : +0.0000, psnr : +17.4368, ssim : +0.5250
images_151 : Stage: [1/5], Iter: [200/200], ftr_loss : +0.9563, nll : +0.0380, mse_loss : +0.0094, l1_loss : +0.0537, perceptual_edge_loss : +0.0000, psnr : +18.3297, ssim : +0.5734
images_151 : Stage: [2/5], Iter: [1/200], ftr_loss : +0.8724, nll : +0.0380, mse_loss : +0.0089, l1_loss : +0.0514, perceptual_edge_loss : +0.0000, psnr : +18.3365, ssim : +0.5677
images_151 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.6966, nll : +0.0376, mse_loss : +0.0076, l1_loss : +0.0478, perceptual_edge_loss : +0.0000, psnr : +18.6349, ssim : +0.6100
images_151 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.6119, nll : +0.0373, mse_loss : +0.0070, l1_loss : +0.0452, perceptual_edge_loss : +0.0000, psnr : +19.0475, ssim : +0.6158
images_151 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.6028, nll : +0.0372, mse_loss : +0.0071, l1_loss : +0.0449, perceptual_edge_loss : +0.4594, psnr : +18.9244, ssim : +0.6135
images_151 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.3891, nll : +0.0372, mse_loss : +0.0061, l1_loss : +0.0411, perceptual_edge_loss : +0.4741, psnr : +19.3807, ssim : +0.6290
images_151 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.3686, nll : +0.0372, mse_loss : +0.0060, l1_loss : +0.0406, perceptual_edge_loss : +0.4495, psnr : +19.3954, ssim : +0.6328
images_151 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.3695, nll : +0.0372, mse_loss : +0.0061, l1_loss : +0.0407, perceptual_edge_loss : +0.0467, psnr : +19.4195, ssim : +0.6344
images_151 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.3680, nll : +0.0372, mse_loss : +0.0058, l1_loss : +0.0398, perceptual_edge_loss : +0.0449, psnr : +19.5737, ssim : +0.6436
images_151 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.3372, nll : +0.0372, mse_loss : +0.0058, l1_loss : +0.0398, perceptual_edge_loss : +0.0447, psnr : +19.5106, ssim : +0.6407
images_151 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.3410, nll : +0.0372, mse_loss : +0.0059, l1_loss : +0.0400, perceptual_edge_loss : +0.0046, psnr : +19.4617, ssim : +0.6425
images_151 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.2822, nll : +0.0372, mse_loss : +0.0050, l1_loss : +0.0372, perceptual_edge_loss : +0.0043, psnr : +19.8585, ssim : +0.6609
images_151 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.2770, nll : +0.0372, mse_loss : +0.0048, l1_loss : +0.0365, perceptual_edge_loss : +0.0043, psnr : +19.9431, ssim : +0.6669
images_152 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.2930, nll : +0.0400, mse_loss : +0.0733, l1_loss : +0.1937, perceptual_edge_loss : +0.0000, psnr : +10.5933, ssim : +0.1131
images_152 : Stage: [1/5], Iter: [100/200], ftr_loss : +3.0292, nll : +0.0369, mse_loss : +0.0500, l1_loss : +0.1521, perceptual_edge_loss : +0.0000, psnr : +11.9700, ssim : +0.1294
images_152 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.8136, nll : +0.0346, mse_loss : +0.0362, l1_loss : +0.1222, perceptual_edge_loss : +0.0000, psnr : +13.0547, ssim : +0.2132
images_152 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.8318, nll : +0.0346, mse_loss : +0.0356, l1_loss : +0.1185, perceptual_edge_loss : +0.0000, psnr : +13.0245, ssim : +0.2217
images_152 : Stage: [2/5], Iter: [100/200], ftr_loss : +1.4986, nll : +0.0339, mse_loss : +0.0325, l1_loss : +0.1128, perceptual_edge_loss : +0.0000, psnr : +13.4242, ssim : +0.2456
images_152 : Stage: [2/5], Iter: [200/200], ftr_loss : +1.3890, nll : +0.0333, mse_loss : +0.0320, l1_loss : +0.1113, perceptual_edge_loss : +0.0000, psnr : +13.4094, ssim : +0.2622
images_152 : Stage: [3/5], Iter: [1/200], ftr_loss : +1.3483, nll : +0.0332, mse_loss : +0.0288, l1_loss : +0.1039, perceptual_edge_loss : +0.5687, psnr : +13.7480, ssim : +0.2897
images_152 : Stage: [3/5], Iter: [100/200], ftr_loss : +1.0256, nll : +0.0332, mse_loss : +0.0279, l1_loss : +0.1016, perceptual_edge_loss : +0.5747, psnr : +13.8187, ssim : +0.3122
images_152 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.9765, nll : +0.0332, mse_loss : +0.0269, l1_loss : +0.0993, perceptual_edge_loss : +0.5692, psnr : +13.9475, ssim : +0.3253
images_152 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.9705, nll : +0.0332, mse_loss : +0.0264, l1_loss : +0.0980, perceptual_edge_loss : +0.0582, psnr : +14.0210, ssim : +0.3281
images_152 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.9229, nll : +0.0332, mse_loss : +0.0259, l1_loss : +0.0971, perceptual_edge_loss : +0.0551, psnr : +14.0584, ssim : +0.3362
images_152 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.8600, nll : +0.0332, mse_loss : +0.0256, l1_loss : +0.0963, perceptual_edge_loss : +0.0517, psnr : +14.1001, ssim : +0.3427
images_152 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.8807, nll : +0.0332, mse_loss : +0.0254, l1_loss : +0.0959, perceptual_edge_loss : +0.0055, psnr : +14.1118, ssim : +0.3447
images_152 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.8596, nll : +0.0332, mse_loss : +0.0204, l1_loss : +0.0860, perceptual_edge_loss : +0.0053, psnr : +14.8780, ssim : +0.3963
images_152 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.8459, nll : +0.0332, mse_loss : +0.0190, l1_loss : +0.0834, perceptual_edge_loss : +0.0053, psnr : +15.0737, ssim : +0.4162
images_153 : Stage: [1/5], Iter: [1/200], ftr_loss : +5.0393, nll : +0.0425, mse_loss : +0.0790, l1_loss : +0.2076, perceptual_edge_loss : +0.0000, psnr : +10.4299, ssim : +0.1173
images_153 : Stage: [1/5], Iter: [100/200], ftr_loss : +2.6666, nll : +0.0394, mse_loss : +0.0379, l1_loss : +0.1388, perceptual_edge_loss : +0.0000, psnr : +13.4782, ssim : +0.2282
images_153 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.9399, nll : +0.0368, mse_loss : +0.0306, l1_loss : +0.1196, perceptual_edge_loss : +0.0000, psnr : +14.2364, ssim : +0.3088
