images_261 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.6251, nll : +0.0444, mse_loss : +0.0960, l1_loss : +0.2531, perceptual_edge_loss : +0.0000, psnr : +9.7187, ssim : +0.3233
images_261 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.4104, nll : +0.0433, mse_loss : +0.0158, l1_loss : +0.0770, perceptual_edge_loss : +0.0000, psnr : +17.1828, ssim : +0.6242
images_261 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.1624, nll : +0.0422, mse_loss : +0.0118, l1_loss : +0.0612, perceptual_edge_loss : +0.0000, psnr : +18.5175, ssim : +0.6890
images_261 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.0161, nll : +0.0422, mse_loss : +0.0119, l1_loss : +0.0596, perceptual_edge_loss : +0.0000, psnr : +18.2585, ssim : +0.6879
images_261 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.8276, nll : +0.0417, mse_loss : +0.0097, l1_loss : +0.0543, perceptual_edge_loss : +0.0000, psnr : +19.0721, ssim : +0.7297
images_261 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.7750, nll : +0.0413, mse_loss : +0.0080, l1_loss : +0.0495, perceptual_edge_loss : +0.0000, psnr : +19.6994, ssim : +0.7516
images_261 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.7681, nll : +0.0413, mse_loss : +0.0093, l1_loss : +0.0520, perceptual_edge_loss : +0.5954, psnr : +19.2371, ssim : +0.7380
images_261 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.4709, nll : +0.0413, mse_loss : +0.0073, l1_loss : +0.0442, perceptual_edge_loss : +0.5851, psnr : +19.9748, ssim : +0.7694
images_261 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.4429, nll : +0.0413, mse_loss : +0.0071, l1_loss : +0.0436, perceptual_edge_loss : +0.5760, psnr : +19.9880, ssim : +0.7742
images_261 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.4362, nll : +0.0413, mse_loss : +0.0068, l1_loss : +0.0426, perceptual_edge_loss : +0.0576, psnr : +20.2009, ssim : +0.7795
images_261 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.4403, nll : +0.0413, mse_loss : +0.0068, l1_loss : +0.0428, perceptual_edge_loss : +0.0560, psnr : +20.1441, ssim : +0.7797
images_261 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.4193, nll : +0.0413, mse_loss : +0.0065, l1_loss : +0.0416, perceptual_edge_loss : +0.0558, psnr : +20.3026, ssim : +0.7869
images_261 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.4083, nll : +0.0413, mse_loss : +0.0067, l1_loss : +0.0419, perceptual_edge_loss : +0.0056, psnr : +20.2469, ssim : +0.7853
images_261 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.3224, nll : +0.0413, mse_loss : +0.0054, l1_loss : +0.0379, perceptual_edge_loss : +0.0055, psnr : +20.8837, ssim : +0.8072
images_261 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.3217, nll : +0.0413, mse_loss : +0.0049, l1_loss : +0.0366, perceptual_edge_loss : +0.0056, psnr : +21.0934, ssim : +0.8158
images_262 : Stage: [1/5], Iter: [1/200], ftr_loss : +2.7518, nll : +0.0445, mse_loss : +0.0286, l1_loss : +0.0987, perceptual_edge_loss : +0.0000, psnr : +13.4635, ssim : +0.3744
images_262 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.7382, nll : +0.0432, mse_loss : +0.0135, l1_loss : +0.0560, perceptual_edge_loss : +0.0000, psnr : +15.7316, ssim : +0.4708
images_262 : Stage: [1/5], Iter: [200/200], ftr_loss : +0.9475, nll : +0.0424, mse_loss : +0.0067, l1_loss : +0.0362, perceptual_edge_loss : +0.0000, psnr : +16.3067, ssim : +0.4732
images_262 : Stage: [2/5], Iter: [1/200], ftr_loss : +0.9425, nll : +0.0424, mse_loss : +0.0059, l1_loss : +0.0337, perceptual_edge_loss : +0.0000, psnr : +17.0543, ssim : +0.5209
images_262 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.7277, nll : +0.0421, mse_loss : +0.0056, l1_loss : +0.0315, perceptual_edge_loss : +0.0000, psnr : +17.5181, ssim : +0.5236
images_262 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.6510, nll : +0.0417, mse_loss : +0.0047, l1_loss : +0.0294, perceptual_edge_loss : +0.0000, psnr : +17.6943, ssim : +0.5511
images_262 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.6125, nll : +0.0417, mse_loss : +0.0054, l1_loss : +0.0326, perceptual_edge_loss : +0.8427, psnr : +16.8115, ssim : +0.5204
images_262 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.4574, nll : +0.0417, mse_loss : +0.0043, l1_loss : +0.0264, perceptual_edge_loss : +0.8073, psnr : +17.6332, ssim : +0.5554
images_262 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.4262, nll : +0.0417, mse_loss : +0.0042, l1_loss : +0.0260, perceptual_edge_loss : +0.8038, psnr : +17.5552, ssim : +0.5584
images_262 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.4239, nll : +0.0417, mse_loss : +0.0042, l1_loss : +0.0262, perceptual_edge_loss : +0.0818, psnr : +17.3162, ssim : +0.5549
images_262 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.4104, nll : +0.0417, mse_loss : +0.0039, l1_loss : +0.0250, perceptual_edge_loss : +0.0788, psnr : +17.6099, ssim : +0.5687
images_262 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.3978, nll : +0.0417, mse_loss : +0.0037, l1_loss : +0.0244, perceptual_edge_loss : +0.0801, psnr : +17.7383, ssim : +0.5759
images_262 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.3876, nll : +0.0417, mse_loss : +0.0041, l1_loss : +0.0256, perceptual_edge_loss : +0.0080, psnr : +17.4108, ssim : +0.5568
images_262 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.3405, nll : +0.0417, mse_loss : +0.0033, l1_loss : +0.0231, perceptual_edge_loss : +0.0079, psnr : +17.8354, ssim : +0.5832
images_262 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.3317, nll : +0.0417, mse_loss : +0.0031, l1_loss : +0.0225, perceptual_edge_loss : +0.0078, psnr : +17.8812, ssim : +0.5879
images_263 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.1886, nll : +0.0411, mse_loss : +0.0766, l1_loss : +0.1936, perceptual_edge_loss : +0.0000, psnr : +9.9562, ssim : +0.1984
images_263 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.7410, nll : +0.0393, mse_loss : +0.0218, l1_loss : +0.0935, perceptual_edge_loss : +0.0000, psnr : +15.0444, ssim : +0.3204
images_263 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.3490, nll : +0.0376, mse_loss : +0.0161, l1_loss : +0.0768, perceptual_edge_loss : +0.0000, psnr : +16.0028, ssim : +0.4104
images_263 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.2922, nll : +0.0376, mse_loss : +0.0173, l1_loss : +0.0793, perceptual_edge_loss : +0.0000, psnr : +15.8684, ssim : +0.4070
images_263 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.9894, nll : +0.0369, mse_loss : +0.0125, l1_loss : +0.0654, perceptual_edge_loss : +0.0000, psnr : +16.7456, ssim : +0.4872
images_263 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.8518, nll : +0.0364, mse_loss : +0.0113, l1_loss : +0.0610, perceptual_edge_loss : +0.0000, psnr : +16.9965, ssim : +0.5057
images_263 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.8388, nll : +0.0364, mse_loss : +0.0109, l1_loss : +0.0602, perceptual_edge_loss : +1.0283, psnr : +17.1200, ssim : +0.5083
images_263 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.6074, nll : +0.0364, mse_loss : +0.0097, l1_loss : +0.0556, perceptual_edge_loss : +1.0302, psnr : +17.3051, ssim : +0.5367
images_263 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.5601, nll : +0.0364, mse_loss : +0.0094, l1_loss : +0.0547, perceptual_edge_loss : +1.0188, psnr : +17.3651, ssim : +0.5415
images_263 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.5574, nll : +0.0364, mse_loss : +0.0091, l1_loss : +0.0537, perceptual_edge_loss : +0.1030, psnr : +17.4625, ssim : +0.5503
images_263 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.5331, nll : +0.0364, mse_loss : +0.0091, l1_loss : +0.0538, perceptual_edge_loss : +0.1018, psnr : +17.4087, ssim : +0.5481
images_263 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.5149, nll : +0.0364, mse_loss : +0.0087, l1_loss : +0.0526, perceptual_edge_loss : +0.1003, psnr : +17.6040, ssim : +0.5605
images_263 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.5061, nll : +0.0364, mse_loss : +0.0087, l1_loss : +0.0524, perceptual_edge_loss : +0.0098, psnr : +17.5094, ssim : +0.5599
images_263 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.4460, nll : +0.0363, mse_loss : +0.0070, l1_loss : +0.0474, perceptual_edge_loss : +0.0100, psnr : +18.0512, ssim : +0.5910
images_263 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.4349, nll : +0.0363, mse_loss : +0.0065, l1_loss : +0.0458, perceptual_edge_loss : +0.0100, psnr : +18.1955, ssim : +0.6017
images_264 : Stage: [1/5], Iter: [1/200], ftr_loss : +5.1404, nll : +0.0507, mse_loss : +0.1095, l1_loss : +0.2422, perceptual_edge_loss : +0.0000, psnr : +9.1741, ssim : +0.3142
images_264 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.7402, nll : +0.0456, mse_loss : +0.0200, l1_loss : +0.0786, perceptual_edge_loss : +0.0000, psnr : +15.9642, ssim : +0.6248
images_264 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.0648, nll : +0.0429, mse_loss : +0.0108, l1_loss : +0.0514, perceptual_edge_loss : +0.0000, psnr : +17.7120, ssim : +0.7036
images_264 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.0689, nll : +0.0429, mse_loss : +0.0116, l1_loss : +0.0557, perceptual_edge_loss : +0.0000, psnr : +17.6001, ssim : +0.7007
images_264 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.8669, nll : +0.0421, mse_loss : +0.0096, l1_loss : +0.0469, perceptual_edge_loss : +0.0000, psnr : +17.9110, ssim : +0.7255
images_264 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.7184, nll : +0.0413, mse_loss : +0.0080, l1_loss : +0.0431, perceptual_edge_loss : +0.0000, psnr : +18.6049, ssim : +0.7485
images_264 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.7258, nll : +0.0413, mse_loss : +0.0079, l1_loss : +0.0415, perceptual_edge_loss : +0.7377, psnr : +18.5250, ssim : +0.7540
images_264 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.4661, nll : +0.0413, mse_loss : +0.0071, l1_loss : +0.0374, perceptual_edge_loss : +0.7456, psnr : +18.6535, ssim : +0.7658
images_264 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.4464, nll : +0.0413, mse_loss : +0.0068, l1_loss : +0.0365, perceptual_edge_loss : +0.7063, psnr : +18.7418, ssim : +0.7708
images_264 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.4547, nll : +0.0413, mse_loss : +0.0067, l1_loss : +0.0367, perceptual_edge_loss : +0.0716, psnr : +18.7579, ssim : +0.7712
images_264 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.4357, nll : +0.0413, mse_loss : +0.0069, l1_loss : +0.0366, perceptual_edge_loss : +0.0715, psnr : +18.6088, ssim : +0.7718
images_264 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.4044, nll : +0.0412, mse_loss : +0.0066, l1_loss : +0.0360, perceptual_edge_loss : +0.0699, psnr : +18.6141, ssim : +0.7768
images_264 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.4160, nll : +0.0412, mse_loss : +0.0064, l1_loss : +0.0359, perceptual_edge_loss : +0.0070, psnr : +18.8626, ssim : +0.7812
images_264 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.3536, nll : +0.0412, mse_loss : +0.0051, l1_loss : +0.0315, perceptual_edge_loss : +0.0066, psnr : +19.2140, ssim : +0.7979
images_264 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.3390, nll : +0.0412, mse_loss : +0.0046, l1_loss : +0.0302, perceptual_edge_loss : +0.0066, psnr : +19.4084, ssim : +0.8057
images_265 : Stage: [1/5], Iter: [1/200], ftr_loss : +3.5233, nll : +0.0433, mse_loss : +0.0743, l1_loss : +0.1991, perceptual_edge_loss : +0.0000, psnr : +10.3825, ssim : +0.3167
images_265 : Stage: [1/5], Iter: [100/200], ftr_loss : +3.0830, nll : +0.0417, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0000, psnr : +8.3889, ssim : +0.3042
images_265 : Stage: [1/5], Iter: [200/200], ftr_loss : +3.0831, nll : +0.0404, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0000, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [2/5], Iter: [1/200], ftr_loss : +3.0831, nll : +0.0404, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0000, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [2/5], Iter: [100/200], ftr_loss : +3.0831, nll : +0.0399, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0000, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [2/5], Iter: [200/200], ftr_loss : +3.0831, nll : +0.0395, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0000, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [3/5], Iter: [1/200], ftr_loss : +3.0831, nll : +0.0395, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.8113, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [3/5], Iter: [100/200], ftr_loss : +3.0831, nll : +0.0394, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.8113, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [3/5], Iter: [200/200], ftr_loss : +3.0831, nll : +0.0394, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.8113, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [4/5], Iter: [1/200], ftr_loss : +3.0831, nll : +0.0394, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0811, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [4/5], Iter: [100/200], ftr_loss : +3.0831, nll : +0.0394, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0811, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [4/5], Iter: [200/200], ftr_loss : +3.0831, nll : +0.0394, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0811, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [5/5], Iter: [1/200], ftr_loss : +3.0831, nll : +0.0394, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0081, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [5/5], Iter: [100/200], ftr_loss : +3.0831, nll : +0.0394, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0081, psnr : +8.3888, ssim : +0.3042
images_265 : Stage: [5/5], Iter: [200/200], ftr_loss : +3.0831, nll : +0.0394, mse_loss : +0.1224, l1_loss : +0.2014, perceptual_edge_loss : +0.0081, psnr : +8.3888, ssim : +0.3042
images_266 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.4638, nll : +0.0472, mse_loss : +0.0850, l1_loss : +0.2099, perceptual_edge_loss : +0.0000, psnr : +10.0252, ssim : +0.3640
images_266 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.9475, nll : +0.0431, mse_loss : +0.0185, l1_loss : +0.0719, perceptual_edge_loss : +0.0000, psnr : +16.0134, ssim : +0.4737
images_266 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.3099, nll : +0.0403, mse_loss : +0.0135, l1_loss : +0.0555, perceptual_edge_loss : +0.0000, psnr : +17.1458, ssim : +0.5718
images_266 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.0935, nll : +0.0403, mse_loss : +0.0108, l1_loss : +0.0511, perceptual_edge_loss : +0.0000, psnr : +18.0352, ssim : +0.6185
images_266 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.9226, nll : +0.0396, mse_loss : +0.0087, l1_loss : +0.0413, perceptual_edge_loss : +0.0000, psnr : +18.7374, ssim : +0.6444
images_266 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.6157, nll : +0.0390, mse_loss : +0.0049, l1_loss : +0.0301, perceptual_edge_loss : +0.0000, psnr : +20.3169, ssim : +0.7016
images_266 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.6250, nll : +0.0390, mse_loss : +0.0054, l1_loss : +0.0329, perceptual_edge_loss : +1.1710, psnr : +19.8234, ssim : +0.6875
images_266 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.3995, nll : +0.0390, mse_loss : +0.0040, l1_loss : +0.0266, perceptual_edge_loss : +1.1043, psnr : +20.8159, ssim : +0.7225
images_266 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.3694, nll : +0.0390, mse_loss : +0.0039, l1_loss : +0.0269, perceptual_edge_loss : +1.1028, psnr : +20.8053, ssim : +0.7248
images_266 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.3618, nll : +0.0390, mse_loss : +0.0038, l1_loss : +0.0261, perceptual_edge_loss : +0.1075, psnr : +20.9116, ssim : +0.7265
images_266 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.3457, nll : +0.0390, mse_loss : +0.0037, l1_loss : +0.0254, perceptual_edge_loss : +0.1083, psnr : +20.9695, ssim : +0.7310
