images_62 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.0604, nll : +0.0458, mse_loss : +0.0517, l1_loss : +0.1642, perceptual_edge_loss : +0.0000, psnr : +12.6157, ssim : +0.3663
images_62 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.8121, nll : +0.0420, mse_loss : +0.0253, l1_loss : +0.0983, perceptual_edge_loss : +0.0000, psnr : +15.3066, ssim : +0.4103
images_62 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.4436, nll : +0.0402, mse_loss : +0.0230, l1_loss : +0.0884, perceptual_edge_loss : +0.0000, psnr : +15.6030, ssim : +0.4466
images_62 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.8118, nll : +0.0402, mse_loss : +0.0216, l1_loss : +0.0868, perceptual_edge_loss : +0.0000, psnr : +16.0920, ssim : +0.4554
images_62 : Stage: [2/5], Iter: [100/200], ftr_loss : +1.2218, nll : +0.0394, mse_loss : +0.0189, l1_loss : +0.0786, perceptual_edge_loss : +0.0000, psnr : +16.4496, ssim : +0.5141
images_62 : Stage: [2/5], Iter: [200/200], ftr_loss : +1.0402, nll : +0.0388, mse_loss : +0.0170, l1_loss : +0.0724, perceptual_edge_loss : +0.0000, psnr : +16.9090, ssim : +0.5389
images_62 : Stage: [3/5], Iter: [1/200], ftr_loss : +1.0504, nll : +0.0388, mse_loss : +0.0179, l1_loss : +0.0743, perceptual_edge_loss : +0.8848, psnr : +16.6833, ssim : +0.5209
images_62 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.7947, nll : +0.0388, mse_loss : +0.0162, l1_loss : +0.0694, perceptual_edge_loss : +0.8850, psnr : +17.0411, ssim : +0.5527
images_62 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.7425, nll : +0.0388, mse_loss : +0.0156, l1_loss : +0.0677, perceptual_edge_loss : +0.8972, psnr : +17.1781, ssim : +0.5666
images_62 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.7433, nll : +0.0388, mse_loss : +0.0152, l1_loss : +0.0669, perceptual_edge_loss : +0.0882, psnr : +17.2991, ssim : +0.5698
images_62 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.7094, nll : +0.0388, mse_loss : +0.0148, l1_loss : +0.0660, perceptual_edge_loss : +0.0871, psnr : +17.3791, ssim : +0.5786
images_62 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.6813, nll : +0.0388, mse_loss : +0.0142, l1_loss : +0.0646, perceptual_edge_loss : +0.0848, psnr : +17.5250, ssim : +0.5874
images_62 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.6836, nll : +0.0388, mse_loss : +0.0143, l1_loss : +0.0649, perceptual_edge_loss : +0.0086, psnr : +17.4591, ssim : +0.5865
images_62 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.6339, nll : +0.0388, mse_loss : +0.0114, l1_loss : +0.0578, perceptual_edge_loss : +0.0085, psnr : +18.3014, ssim : +0.6255
images_62 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.6190, nll : +0.0387, mse_loss : +0.0106, l1_loss : +0.0557, perceptual_edge_loss : +0.0084, psnr : +18.5441, ssim : +0.6402
images_63 : Stage: [1/5], Iter: [1/200], ftr_loss : +2.5589, nll : +0.0479, mse_loss : +0.0204, l1_loss : +0.0824, perceptual_edge_loss : +0.0000, psnr : +14.2551, ssim : +0.5939
images_63 : Stage: [1/5], Iter: [100/200], ftr_loss : +0.9782, nll : +0.0454, mse_loss : +0.0053, l1_loss : +0.0334, perceptual_edge_loss : +0.0000, psnr : +19.4633, ssim : +0.7478
images_63 : Stage: [1/5], Iter: [200/200], ftr_loss : +0.4969, nll : +0.0435, mse_loss : +0.0025, l1_loss : +0.0223, perceptual_edge_loss : +0.0000, psnr : +21.0477, ssim : +0.7884
images_63 : Stage: [2/5], Iter: [1/200], ftr_loss : +0.4943, nll : +0.0435, mse_loss : +0.0025, l1_loss : +0.0229, perceptual_edge_loss : +0.0000, psnr : +21.5221, ssim : +0.7809
images_63 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.4316, nll : +0.0428, mse_loss : +0.0023, l1_loss : +0.0212, perceptual_edge_loss : +0.0000, psnr : +21.1527, ssim : +0.7727
images_63 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.3579, nll : +0.0421, mse_loss : +0.0018, l1_loss : +0.0184, perceptual_edge_loss : +0.0000, psnr : +21.5207, ssim : +0.8013
images_63 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.3482, nll : +0.0421, mse_loss : +0.0018, l1_loss : +0.0188, perceptual_edge_loss : +0.5460, psnr : +21.9137, ssim : +0.7944
images_63 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.2116, nll : +0.0421, mse_loss : +0.0014, l1_loss : +0.0144, perceptual_edge_loss : +0.5603, psnr : +22.1440, ssim : +0.8034
images_63 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.2045, nll : +0.0421, mse_loss : +0.0013, l1_loss : +0.0145, perceptual_edge_loss : +0.5409, psnr : +22.0402, ssim : +0.8076
images_63 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.1992, nll : +0.0421, mse_loss : +0.0014, l1_loss : +0.0146, perceptual_edge_loss : +0.0547, psnr : +22.1926, ssim : +0.8003
images_63 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.1888, nll : +0.0421, mse_loss : +0.0013, l1_loss : +0.0142, perceptual_edge_loss : +0.0534, psnr : +22.0408, ssim : +0.8053
images_63 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.1837, nll : +0.0421, mse_loss : +0.0013, l1_loss : +0.0139, perceptual_edge_loss : +0.0534, psnr : +22.1051, ssim : +0.8080
images_63 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.1843, nll : +0.0421, mse_loss : +0.0012, l1_loss : +0.0138, perceptual_edge_loss : +0.0055, psnr : +22.3466, ssim : +0.8076
images_63 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.1356, nll : +0.0420, mse_loss : +0.0011, l1_loss : +0.0128, perceptual_edge_loss : +0.0053, psnr : +22.3857, ssim : +0.8131
images_63 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.1340, nll : +0.0420, mse_loss : +0.0010, l1_loss : +0.0125, perceptual_edge_loss : +0.0053, psnr : +22.4352, ssim : +0.8151
images_64 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.9793, nll : +0.0537, mse_loss : +0.0800, l1_loss : +0.2180, perceptual_edge_loss : +0.0000, psnr : +10.6141, ssim : +0.2132
