images_60 : Stage: [1/5], Iter: [1/2000], ftr_loss : +4.2353, nll : +0.0491, mse_loss : +0.0739, l1_loss : +0.2149, perceptual_edge_loss : +0.0000, psnr : +10.5959, ssim : +0.4843
images_60 : Stage: [1/5], Iter: [100/2000], ftr_loss : +1.0365, nll : +0.0483, mse_loss : +0.0061, l1_loss : +0.0397, perceptual_edge_loss : +0.0000, psnr : +21.1515, ssim : +0.7561
images_60 : Stage: [1/5], Iter: [200/2000], ftr_loss : +0.6608, nll : +0.0473, mse_loss : +0.0038, l1_loss : +0.0314, perceptual_edge_loss : +0.0000, psnr : +22.8694, ssim : +0.8247
images_60 : Stage: [1/5], Iter: [300/2000], ftr_loss : +0.5177, nll : +0.0466, mse_loss : +0.0026, l1_loss : +0.0250, perceptual_edge_loss : +0.0000, psnr : +24.4852, ssim : +0.8521
images_60 : Stage: [1/5], Iter: [400/2000], ftr_loss : +0.4107, nll : +0.0459, mse_loss : +0.0021, l1_loss : +0.0212, perceptual_edge_loss : +0.0000, psnr : +25.1343, ssim : +0.8650
images_60 : Stage: [1/5], Iter: [500/2000], ftr_loss : +0.3648, nll : +0.0452, mse_loss : +0.0020, l1_loss : +0.0218, perceptual_edge_loss : +0.0000, psnr : +25.4709, ssim : +0.8771
images_60 : Stage: [1/5], Iter: [600/2000], ftr_loss : +0.5301, nll : +0.0445, mse_loss : +0.0031, l1_loss : +0.0260, perceptual_edge_loss : +0.0000, psnr : +24.0604, ssim : +0.8412
images_60 : Stage: [1/5], Iter: [700/2000], ftr_loss : +0.3001, nll : +0.0437, mse_loss : +0.0018, l1_loss : +0.0191, perceptual_edge_loss : +0.0000, psnr : +25.6360, ssim : +0.8807
images_60 : Stage: [1/5], Iter: [800/2000], ftr_loss : +0.2933, nll : +0.0430, mse_loss : +0.0016, l1_loss : +0.0185, perceptual_edge_loss : +0.0000, psnr : +25.8623, ssim : +0.8923
images_60 : Stage: [1/5], Iter: [900/2000], ftr_loss : +0.2691, nll : +0.0424, mse_loss : +0.0017, l1_loss : +0.0187, perceptual_edge_loss : +0.0000, psnr : +25.8083, ssim : +0.8889
images_60 : Stage: [1/5], Iter: [1000/2000], ftr_loss : +0.2651, nll : +0.0417, mse_loss : +0.0015, l1_loss : +0.0177, perceptual_edge_loss : +0.0000, psnr : +26.1512, ssim : +0.8930
images_60 : Stage: [1/5], Iter: [1100/2000], ftr_loss : +0.3951, nll : +0.0410, mse_loss : +0.0026, l1_loss : +0.0223, perceptual_edge_loss : +0.0000, psnr : +24.5917, ssim : +0.8627
images_60 : Stage: [1/5], Iter: [1200/2000], ftr_loss : +0.2191, nll : +0.0401, mse_loss : +0.0014, l1_loss : +0.0170, perceptual_edge_loss : +0.0000, psnr : +26.4783, ssim : +0.8989
images_60 : Stage: [1/5], Iter: [1300/2000], ftr_loss : +0.2142, nll : +0.0395, mse_loss : +0.0014, l1_loss : +0.0170, perceptual_edge_loss : +0.0000, psnr : +26.5921, ssim : +0.8985
images_60 : Stage: [1/5], Iter: [1400/2000], ftr_loss : +0.2028, nll : +0.0389, mse_loss : +0.0014, l1_loss : +0.0176, perceptual_edge_loss : +0.0000, psnr : +26.6486, ssim : +0.8997
images_60 : Stage: [1/5], Iter: [1500/2000], ftr_loss : +0.2202, nll : +0.0383, mse_loss : +0.0014, l1_loss : +0.0168, perceptual_edge_loss : +0.0000, psnr : +26.4556, ssim : +0.8983
images_60 : Stage: [1/5], Iter: [1600/2000], ftr_loss : +0.1892, nll : +0.0377, mse_loss : +0.0012, l1_loss : +0.0159, perceptual_edge_loss : +0.0000, psnr : +26.8625, ssim : +0.9072
images_60 : Stage: [1/5], Iter: [1700/2000], ftr_loss : +0.1703, nll : +0.0372, mse_loss : +0.0012, l1_loss : +0.0161, perceptual_edge_loss : +0.0000, psnr : +26.9867, ssim : +0.9053
images_60 : Stage: [1/5], Iter: [1800/2000], ftr_loss : +0.1817, nll : +0.0366, mse_loss : +0.0012, l1_loss : +0.0155, perceptual_edge_loss : +0.0000, psnr : +27.0011, ssim : +0.9077
images_60 : Stage: [1/5], Iter: [1900/2000], ftr_loss : +0.2633, nll : +0.0360, mse_loss : +0.0016, l1_loss : +0.0181, perceptual_edge_loss : +0.0000, psnr : +26.0422, ssim : +0.8961
images_60 : Stage: [1/5], Iter: [2000/2000], ftr_loss : +0.1753, nll : +0.0354, mse_loss : +0.0012, l1_loss : +0.0157, perceptual_edge_loss : +0.0000, psnr : +26.7012, ssim : +0.9058
images_60 : Stage: [2/5], Iter: [1/2000], ftr_loss : +0.1744, nll : +0.0354, mse_loss : +0.0012, l1_loss : +0.0159, perceptual_edge_loss : +0.0000, psnr : +27.0083, ssim : +0.9071
images_60 : Stage: [2/5], Iter: [100/2000], ftr_loss : +0.1622, nll : +0.0351, mse_loss : +0.0012, l1_loss : +0.0152, perceptual_edge_loss : +0.0000, psnr : +27.1000, ssim : +0.9098
images_60 : Stage: [2/5], Iter: [200/2000], ftr_loss : +0.1878, nll : +0.0348, mse_loss : +0.0012, l1_loss : +0.0158, perceptual_edge_loss : +0.0000, psnr : +26.9854, ssim : +0.9095
images_60 : Stage: [2/5], Iter: [300/2000], ftr_loss : +0.1745, nll : +0.0345, mse_loss : +0.0012, l1_loss : +0.0153, perceptual_edge_loss : +0.0000, psnr : +27.1970, ssim : +0.9086
images_60 : Stage: [2/5], Iter: [400/2000], ftr_loss : +0.1569, nll : +0.0342, mse_loss : +0.0012, l1_loss : +0.0157, perceptual_edge_loss : +0.0000, psnr : +27.1225, ssim : +0.9065
images_60 : Stage: [2/5], Iter: [500/2000], ftr_loss : +0.1653, nll : +0.0339, mse_loss : +0.0012, l1_loss : +0.0155, perceptual_edge_loss : +0.0000, psnr : +26.9262, ssim : +0.9077
images_60 : Stage: [2/5], Iter: [600/2000], ftr_loss : +0.1636, nll : +0.0336, mse_loss : +0.0012, l1_loss : +0.0158, perceptual_edge_loss : +0.0000, psnr : +26.9715, ssim : +0.9096
images_60 : Stage: [2/5], Iter: [700/2000], ftr_loss : +0.1429, nll : +0.0334, mse_loss : +0.0011, l1_loss : +0.0148, perceptual_edge_loss : +0.0000, psnr : +27.3786, ssim : +0.9113
images_60 : Stage: [2/5], Iter: [800/2000], ftr_loss : +0.1537, nll : +0.0331, mse_loss : +0.0012, l1_loss : +0.0152, perceptual_edge_loss : +0.0000, psnr : +27.1426, ssim : +0.9090
images_60 : Stage: [2/5], Iter: [900/2000], ftr_loss : +0.1636, nll : +0.0327, mse_loss : +0.0012, l1_loss : +0.0155, perceptual_edge_loss : +0.0000, psnr : +26.9475, ssim : +0.9097
images_60 : Stage: [2/5], Iter: [1000/2000], ftr_loss : +0.1413, nll : +0.0325, mse_loss : +0.0011, l1_loss : +0.0149, perceptual_edge_loss : +0.0000, psnr : +27.3510, ssim : +0.9112
images_60 : Stage: [2/5], Iter: [1100/2000], ftr_loss : +0.1422, nll : +0.0321, mse_loss : +0.0011, l1_loss : +0.0148, perceptual_edge_loss : +0.0000, psnr : +27.3076, ssim : +0.9116
images_60 : Stage: [2/5], Iter: [1200/2000], ftr_loss : +0.1325, nll : +0.0318, mse_loss : +0.0011, l1_loss : +0.0146, perceptual_edge_loss : +0.0000, psnr : +27.3635, ssim : +0.9124
images_60 : Stage: [2/5], Iter: [1300/2000], ftr_loss : +0.1349, nll : +0.0316, mse_loss : +0.0011, l1_loss : +0.0145, perceptual_edge_loss : +0.0000, psnr : +27.4669, ssim : +0.9147
images_60 : Stage: [2/5], Iter: [1400/2000], ftr_loss : +0.1360, nll : +0.0313, mse_loss : +0.0011, l1_loss : +0.0145, perceptual_edge_loss : +0.0000, psnr : +27.4610, ssim : +0.9133
images_60 : Stage: [2/5], Iter: [1500/2000], ftr_loss : +0.1486, nll : +0.0307, mse_loss : +0.0011, l1_loss : +0.0156, perceptual_edge_loss : +0.0000, psnr : +27.2464, ssim : +0.9110
images_60 : Stage: [2/5], Iter: [1600/2000], ftr_loss : +0.1359, nll : +0.0305, mse_loss : +0.0010, l1_loss : +0.0142, perceptual_edge_loss : +0.0000, psnr : +27.4140, ssim : +0.9163
images_60 : Stage: [2/5], Iter: [1700/2000], ftr_loss : +0.1293, nll : +0.0303, mse_loss : +0.0010, l1_loss : +0.0141, perceptual_edge_loss : +0.0000, psnr : +27.5055, ssim : +0.9147
images_60 : Stage: [2/5], Iter: [1800/2000], ftr_loss : +0.1276, nll : +0.0301, mse_loss : +0.0011, l1_loss : +0.0142, perceptual_edge_loss : +0.0000, psnr : +27.3970, ssim : +0.9141
images_60 : Stage: [2/5], Iter: [1900/2000], ftr_loss : +0.1369, nll : +0.0298, mse_loss : +0.0011, l1_loss : +0.0147, perceptual_edge_loss : +0.0000, psnr : +27.2592, ssim : +0.9120
images_60 : Stage: [2/5], Iter: [2000/2000], ftr_loss : +0.1174, nll : +0.0296, mse_loss : +0.0010, l1_loss : +0.0139, perceptual_edge_loss : +0.0000, psnr : +27.4185, ssim : +0.9144
images_60 : Stage: [3/5], Iter: [1/2000], ftr_loss : +0.1381, nll : +0.0296, mse_loss : +0.0011, l1_loss : +0.0146, perceptual_edge_loss : +0.5938, psnr : +27.3821, ssim : +0.9129
images_60 : Stage: [3/5], Iter: [100/2000], ftr_loss : +0.0725, nll : +0.0296, mse_loss : +0.0010, l1_loss : +0.0135, perceptual_edge_loss : +0.6024, psnr : +27.5928, ssim : +0.9161
images_60 : Stage: [3/5], Iter: [200/2000], ftr_loss : +0.0738, nll : +0.0296, mse_loss : +0.0010, l1_loss : +0.0134, perceptual_edge_loss : +0.5984, psnr : +27.6155, ssim : +0.9170
images_60 : Stage: [3/5], Iter: [300/2000], ftr_loss : +0.0724, nll : +0.0296, mse_loss : +0.0010, l1_loss : +0.0134, perceptual_edge_loss : +0.5964, psnr : +27.5887, ssim : +0.9166
images_60 : Stage: [3/5], Iter: [400/2000], ftr_loss : +0.0741, nll : +0.0296, mse_loss : +0.0010, l1_loss : +0.0134, perceptual_edge_loss : +0.5916, psnr : +27.5665, ssim : +0.9169
images_60 : Stage: [3/5], Iter: [500/2000], ftr_loss : +0.0731, nll : +0.0296, mse_loss : +0.0010, l1_loss : +0.0133, perceptual_edge_loss : +0.5950, psnr : +27.6136, ssim : +0.9171
images_60 : Stage: [3/5], Iter: [600/2000], ftr_loss : +0.0726, nll : +0.0296, mse_loss : +0.0010, l1_loss : +0.0133, perceptual_edge_loss : +0.5910, psnr : +27.5808, ssim : +0.9168
images_60 : Stage: [3/5], Iter: [700/2000], ftr_loss : +0.0744, nll : +0.0296, mse_loss : +0.0010, l1_loss : +0.0136, perceptual_edge_loss : +0.5916, psnr : +27.6269, ssim : +0.9160
