images_11 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.8066, nll : +0.0443, mse_loss : +0.0801, l1_loss : +0.1936, perceptual_edge_loss : +0.0000, psnr : +10.1098, ssim : +0.2700
images_11 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.6294, nll : +0.0435, mse_loss : +0.0331, l1_loss : +0.1129, perceptual_edge_loss : +0.0000, psnr : +13.9828, ssim : +0.3462
images_11 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.3059, nll : +0.0426, mse_loss : +0.0290, l1_loss : +0.1031, perceptual_edge_loss : +0.0000, psnr : +14.6500, ssim : +0.4025
images_11 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.3309, nll : +0.0426, mse_loss : +0.0293, l1_loss : +0.1041, perceptual_edge_loss : +0.0000, psnr : +14.6250, ssim : +0.3901
images_11 : Stage: [2/5], Iter: [100/200], ftr_loss : +1.0844, nll : +0.0421, mse_loss : +0.0259, l1_loss : +0.0957, perceptual_edge_loss : +0.0000, psnr : +15.0489, ssim : +0.4330
images_11 : Stage: [2/5], Iter: [200/200], ftr_loss : +1.0144, nll : +0.0417, mse_loss : +0.0254, l1_loss : +0.0942, perceptual_edge_loss : +0.0000, psnr : +15.0131, ssim : +0.4316
images_11 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.9496, nll : +0.0417, mse_loss : +0.0257, l1_loss : +0.0961, perceptual_edge_loss : +0.5029, psnr : +15.1225, ssim : +0.4352
images_11 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.6908, nll : +0.0417, mse_loss : +0.0236, l1_loss : +0.0911, perceptual_edge_loss : +0.5412, psnr : +15.3876, ssim : +0.4582
images_11 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.6611, nll : +0.0417, mse_loss : +0.0227, l1_loss : +0.0890, perceptual_edge_loss : +0.5276, psnr : +15.5633, ssim : +0.4707
images_11 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.6507, nll : +0.0417, mse_loss : +0.0229, l1_loss : +0.0895, perceptual_edge_loss : +0.0542, psnr : +15.4668, ssim : +0.4676
images_11 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.6418, nll : +0.0417, mse_loss : +0.0222, l1_loss : +0.0879, perceptual_edge_loss : +0.0530, psnr : +15.6063, ssim : +0.4768
images_11 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.6077, nll : +0.0417, mse_loss : +0.0223, l1_loss : +0.0884, perceptual_edge_loss : +0.0514, psnr : +15.5422, ssim : +0.4763
images_11 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.6066, nll : +0.0417, mse_loss : +0.0215, l1_loss : +0.0865, perceptual_edge_loss : +0.0053, psnr : +15.7369, ssim : +0.4827
images_11 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.5875, nll : +0.0417, mse_loss : +0.0180, l1_loss : +0.0795, perceptual_edge_loss : +0.0049, psnr : +16.3302, ssim : +0.5202
images_11 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.5934, nll : +0.0417, mse_loss : +0.0169, l1_loss : +0.0771, perceptual_edge_loss : +0.0049, psnr : +16.5376, ssim : +0.5365
images_12 : Stage: [1/5], Iter: [1/200], ftr_loss : +3.8499, nll : +0.0397, mse_loss : +0.0943, l1_loss : +0.2467, perceptual_edge_loss : +0.0000, psnr : +9.7365, ssim : +0.4844
