images_110 : Stage: [1/5], Iter: [1/200], ftr_loss : +3.9184, nll : +0.0471, mse_loss : +0.0674, l1_loss : +0.1709, perceptual_edge_loss : +0.0000, psnr : +10.7627, ssim : +0.2130
images_110 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.4429, nll : +0.0456, mse_loss : +0.0151, l1_loss : +0.0651, perceptual_edge_loss : +0.0000, psnr : +15.8818, ssim : +0.4502
images_110 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.1255, nll : +0.0444, mse_loss : +0.0126, l1_loss : +0.0575, perceptual_edge_loss : +0.0000, psnr : +16.5486, ssim : +0.5018
images_110 : Stage: [2/5], Iter: [1/200], ftr_loss : +0.9981, nll : +0.0444, mse_loss : +0.0121, l1_loss : +0.0561, perceptual_edge_loss : +0.0000, psnr : +16.5280, ssim : +0.5029
images_110 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.8487, nll : +0.0439, mse_loss : +0.0103, l1_loss : +0.0506, perceptual_edge_loss : +0.0000, psnr : +16.9539, ssim : +0.5496
images_110 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.7017, nll : +0.0434, mse_loss : +0.0095, l1_loss : +0.0483, perceptual_edge_loss : +0.0000, psnr : +17.2655, ssim : +0.5520
images_110 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.7605, nll : +0.0434, mse_loss : +0.0086, l1_loss : +0.0453, perceptual_edge_loss : +0.9634, psnr : +17.4838, ssim : +0.5841
images_110 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.4828, nll : +0.0434, mse_loss : +0.0076, l1_loss : +0.0410, perceptual_edge_loss : +0.9833, psnr : +17.8314, ssim : +0.5969
images_110 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.4548, nll : +0.0434, mse_loss : +0.0074, l1_loss : +0.0405, perceptual_edge_loss : +0.9691, psnr : +17.7705, ssim : +0.6037
images_110 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.4505, nll : +0.0434, mse_loss : +0.0076, l1_loss : +0.0412, perceptual_edge_loss : +0.0966, psnr : +17.7796, ssim : +0.5971
images_110 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.4202, nll : +0.0434, mse_loss : +0.0074, l1_loss : +0.0403, perceptual_edge_loss : +0.0969, psnr : +17.6331, ssim : +0.6011
images_110 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.4236, nll : +0.0434, mse_loss : +0.0068, l1_loss : +0.0385, perceptual_edge_loss : +0.1003, psnr : +17.9480, ssim : +0.6180
images_110 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.4089, nll : +0.0434, mse_loss : +0.0074, l1_loss : +0.0403, perceptual_edge_loss : +0.0097, psnr : +17.7907, ssim : +0.6014
images_110 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.3448, nll : +0.0434, mse_loss : +0.0055, l1_loss : +0.0351, perceptual_edge_loss : +0.0096, psnr : +18.3742, ssim : +0.6343
images_110 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.3348, nll : +0.0434, mse_loss : +0.0050, l1_loss : +0.0339, perceptual_edge_loss : +0.0094, psnr : +18.5305, ssim : +0.6425
images_111 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.4046, nll : +0.0439, mse_loss : +0.0675, l1_loss : +0.1863, perceptual_edge_loss : +0.0000, psnr : +10.7662, ssim : +0.1637
images_111 : Stage: [1/5], Iter: [100/200], ftr_loss : +2.0356, nll : +0.0401, mse_loss : +0.0250, l1_loss : +0.1024, perceptual_edge_loss : +0.0000, psnr : +14.8836, ssim : +0.3635
images_111 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.5382, nll : +0.0379, mse_loss : +0.0179, l1_loss : +0.0835, perceptual_edge_loss : +0.0000, psnr : +16.3488, ssim : +0.4487
