images_252 : Stage: [1/5], Iter: [1/2000], ftr_loss : +5.0455, nll : +0.0373, mse_loss : +0.0934, l1_loss : +0.2247, perceptual_edge_loss : +0.0000, psnr : +9.9016, ssim : +0.4138
images_252 : Stage: [1/5], Iter: [100/2000], ftr_loss : +1.2711, nll : +0.0368, mse_loss : +0.0155, l1_loss : +0.0668, perceptual_edge_loss : +0.0000, psnr : +16.7018, ssim : +0.5535
images_252 : Stage: [1/5], Iter: [200/2000], ftr_loss : +0.7983, nll : +0.0363, mse_loss : +0.0100, l1_loss : +0.0509, perceptual_edge_loss : +0.0000, psnr : +17.5697, ssim : +0.6334
images_252 : Stage: [1/5], Iter: [300/2000], ftr_loss : +0.6502, nll : +0.0358, mse_loss : +0.0086, l1_loss : +0.0460, perceptual_edge_loss : +0.0000, psnr : +18.3246, ssim : +0.6515
images_252 : Stage: [1/5], Iter: [400/2000], ftr_loss : +0.5578, nll : +0.0355, mse_loss : +0.0073, l1_loss : +0.0414, perceptual_edge_loss : +0.0000, psnr : +18.5249, ssim : +0.6703
images_252 : Stage: [1/5], Iter: [500/2000], ftr_loss : +0.4992, nll : +0.0351, mse_loss : +0.0063, l1_loss : +0.0381, perceptual_edge_loss : +0.0000, psnr : +19.0459, ssim : +0.6933
images_252 : Stage: [1/5], Iter: [600/2000], ftr_loss : +0.4535, nll : +0.0347, mse_loss : +0.0061, l1_loss : +0.0384, perceptual_edge_loss : +0.0000, psnr : +19.3401, ssim : +0.6997
images_252 : Stage: [1/5], Iter: [700/2000], ftr_loss : +0.3919, nll : +0.0343, mse_loss : +0.0059, l1_loss : +0.0362, perceptual_edge_loss : +0.0000, psnr : +19.0237, ssim : +0.7055
images_252 : Stage: [1/5], Iter: [800/2000], ftr_loss : +0.3744, nll : +0.0340, mse_loss : +0.0057, l1_loss : +0.0360, perceptual_edge_loss : +0.0000, psnr : +19.0128, ssim : +0.7105
images_252 : Stage: [1/5], Iter: [900/2000], ftr_loss : +0.3590, nll : +0.0336, mse_loss : +0.0050, l1_loss : +0.0333, perceptual_edge_loss : +0.0000, psnr : +19.2581, ssim : +0.7240
images_252 : Stage: [1/5], Iter: [1000/2000], ftr_loss : +0.3779, nll : +0.0333, mse_loss : +0.0048, l1_loss : +0.0321, perceptual_edge_loss : +0.0000, psnr : +19.5899, ssim : +0.7293
images_252 : Stage: [1/5], Iter: [1100/2000], ftr_loss : +0.3634, nll : +0.0329, mse_loss : +0.0049, l1_loss : +0.0325, perceptual_edge_loss : +0.0000, psnr : +19.5695, ssim : +0.7275
images_252 : Stage: [1/5], Iter: [1200/2000], ftr_loss : +0.3369, nll : +0.0325, mse_loss : +0.0046, l1_loss : +0.0311, perceptual_edge_loss : +0.0000, psnr : +19.6505, ssim : +0.7376
images_252 : Stage: [1/5], Iter: [1300/2000], ftr_loss : +0.3290, nll : +0.0321, mse_loss : +0.0044, l1_loss : +0.0317, perceptual_edge_loss : +0.0000, psnr : +19.7171, ssim : +0.7474
images_252 : Stage: [1/5], Iter: [1400/2000], ftr_loss : +0.3185, nll : +0.0318, mse_loss : +0.0041, l1_loss : +0.0296, perceptual_edge_loss : +0.0000, psnr : +20.0366, ssim : +0.7481
images_252 : Stage: [1/5], Iter: [1500/2000], ftr_loss : +0.3054, nll : +0.0314, mse_loss : +0.0042, l1_loss : +0.0306, perceptual_edge_loss : +0.0000, psnr : +19.6655, ssim : +0.7467
images_252 : Stage: [1/5], Iter: [1600/2000], ftr_loss : +0.3204, nll : +0.0309, mse_loss : +0.0040, l1_loss : +0.0297, perceptual_edge_loss : +0.0000, psnr : +19.9150, ssim : +0.7473
images_252 : Stage: [1/5], Iter: [1700/2000], ftr_loss : +0.2874, nll : +0.0306, mse_loss : +0.0039, l1_loss : +0.0295, perceptual_edge_loss : +0.0000, psnr : +20.0481, ssim : +0.7533
images_252 : Stage: [1/5], Iter: [1800/2000], ftr_loss : +0.2863, nll : +0.0302, mse_loss : +0.0037, l1_loss : +0.0282, perceptual_edge_loss : +0.0000, psnr : +20.1981, ssim : +0.7606
images_252 : Stage: [1/5], Iter: [1900/2000], ftr_loss : +0.2575, nll : +0.0299, mse_loss : +0.0038, l1_loss : +0.0284, perceptual_edge_loss : +0.0000, psnr : +19.8821, ssim : +0.7568
