images_211 : Stage: [1/5], Iter: [1/200], ftr_loss : +3.6632, nll : +0.0455, mse_loss : +0.0565, l1_loss : +0.1709, perceptual_edge_loss : +0.0000, psnr : +11.3992, ssim : +0.2074
images_211 : Stage: [1/5], Iter: [100/200], ftr_loss : +1.3664, nll : +0.0446, mse_loss : +0.0203, l1_loss : +0.0808, perceptual_edge_loss : +0.0000, psnr : +15.8816, ssim : +0.4765
images_211 : Stage: [1/5], Iter: [200/200], ftr_loss : +1.1433, nll : +0.0437, mse_loss : +0.0168, l1_loss : +0.0720, perceptual_edge_loss : +0.0000, psnr : +16.5716, ssim : +0.5119
images_211 : Stage: [2/5], Iter: [1/200], ftr_loss : +1.0564, nll : +0.0438, mse_loss : +0.0186, l1_loss : +0.0763, perceptual_edge_loss : +0.0000, psnr : +16.2482, ssim : +0.4814
images_211 : Stage: [2/5], Iter: [100/200], ftr_loss : +0.9239, nll : +0.0433, mse_loss : +0.0151, l1_loss : +0.0674, perceptual_edge_loss : +0.0000, psnr : +17.0195, ssim : +0.5422
images_211 : Stage: [2/5], Iter: [200/200], ftr_loss : +0.7721, nll : +0.0429, mse_loss : +0.0140, l1_loss : +0.0631, perceptual_edge_loss : +0.0000, psnr : +17.2564, ssim : +0.5506
images_211 : Stage: [3/5], Iter: [1/200], ftr_loss : +0.8050, nll : +0.0429, mse_loss : +0.0141, l1_loss : +0.0633, perceptual_edge_loss : +0.5841, psnr : +17.3022, ssim : +0.5487
images_211 : Stage: [3/5], Iter: [100/200], ftr_loss : +0.5636, nll : +0.0429, mse_loss : +0.0130, l1_loss : +0.0598, perceptual_edge_loss : +0.5722, psnr : +17.5533, ssim : +0.5686
images_211 : Stage: [3/5], Iter: [200/200], ftr_loss : +0.5309, nll : +0.0429, mse_loss : +0.0126, l1_loss : +0.0590, perceptual_edge_loss : +0.5713, psnr : +17.6346, ssim : +0.5793
images_211 : Stage: [4/5], Iter: [1/200], ftr_loss : +0.5282, nll : +0.0429, mse_loss : +0.0128, l1_loss : +0.0593, perceptual_edge_loss : +0.0563, psnr : +17.5909, ssim : +0.5738
images_211 : Stage: [4/5], Iter: [100/200], ftr_loss : +0.5059, nll : +0.0429, mse_loss : +0.0124, l1_loss : +0.0587, perceptual_edge_loss : +0.0566, psnr : +17.6474, ssim : +0.5863
images_211 : Stage: [4/5], Iter: [200/200], ftr_loss : +0.4916, nll : +0.0429, mse_loss : +0.0118, l1_loss : +0.0568, perceptual_edge_loss : +0.0557, psnr : +17.8556, ssim : +0.5961
images_211 : Stage: [5/5], Iter: [1/200], ftr_loss : +0.4906, nll : +0.0429, mse_loss : +0.0124, l1_loss : +0.0584, perceptual_edge_loss : +0.0058, psnr : +17.7093, ssim : +0.5808
images_211 : Stage: [5/5], Iter: [100/200], ftr_loss : +0.4261, nll : +0.0429, mse_loss : +0.0097, l1_loss : +0.0516, perceptual_edge_loss : +0.0054, psnr : +18.5158, ssim : +0.6255
images_211 : Stage: [5/5], Iter: [200/200], ftr_loss : +0.4257, nll : +0.0429, mse_loss : +0.0090, l1_loss : +0.0497, perceptual_edge_loss : +0.0053, psnr : +18.7726, ssim : +0.6403
images_212 : Stage: [1/5], Iter: [1/200], ftr_loss : +4.6888, nll : +0.0470, mse_loss : +0.0966, l1_loss : +0.2123, perceptual_edge_loss : +0.0000, psnr : +8.8881, ssim : +0.1631
images_212 : Stage: [1/5], Iter: [100/200], ftr_loss : +5.4767, nll : +0.0461, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +0.0000, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [1/5], Iter: [200/200], ftr_loss : +5.4767, nll : +0.0451, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +0.0000, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [2/5], Iter: [1/200], ftr_loss : +5.4767, nll : +0.0450, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +0.0000, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [2/5], Iter: [100/200], ftr_loss : +5.4767, nll : +0.0445, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +0.0000, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [2/5], Iter: [200/200], ftr_loss : +5.4767, nll : +0.0439, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +0.0000, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [3/5], Iter: [1/200], ftr_loss : +5.4767, nll : +0.0439, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +1.9647, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [3/5], Iter: [100/200], ftr_loss : +5.4767, nll : +0.0439, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +1.9647, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [3/5], Iter: [200/200], ftr_loss : +5.4767, nll : +0.0439, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +1.9647, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [4/5], Iter: [1/200], ftr_loss : +5.4767, nll : +0.0439, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +0.1965, psnr : +5.4901, ssim : +0.2600
images_212 : Stage: [4/5], Iter: [100/200], ftr_loss : +5.4767, nll : +0.0439, mse_loss : +0.1862, l1_loss : +0.3118, perceptual_edge_loss : +0.1965, psnr : +5.4901, ssim : +0.2600
