images_150 : Stage: [1/5], Iter: [1/2000], ftr_loss : +4.5151, nll : +0.0471, mse_loss : +0.0521, l1_loss : +0.1682, perceptual_edge_loss : +0.0000, psnr : +11.9281, ssim : +0.2404
images_150 : Stage: [1/5], Iter: [100/2000], ftr_loss : +1.6777, nll : +0.0458, mse_loss : +0.0165, l1_loss : +0.0806, perceptual_edge_loss : +0.0000, psnr : +16.5573, ssim : +0.4533
images_150 : Stage: [1/5], Iter: [200/2000], ftr_loss : +1.1905, nll : +0.0446, mse_loss : +0.0167, l1_loss : +0.0806, perceptual_edge_loss : +0.0000, psnr : +16.2650, ssim : +0.4885
images_150 : Stage: [1/5], Iter: [300/2000], ftr_loss : +0.9527, nll : +0.0437, mse_loss : +0.0120, l1_loss : +0.0649, perceptual_edge_loss : +0.0000, psnr : +17.5474, ssim : +0.5531
images_150 : Stage: [1/5], Iter: [400/2000], ftr_loss : +0.8596, nll : +0.0428, mse_loss : +0.0116, l1_loss : +0.0642, perceptual_edge_loss : +0.0000, psnr : +17.6466, ssim : +0.5562
images_150 : Stage: [1/5], Iter: [500/2000], ftr_loss : +0.7586, nll : +0.0421, mse_loss : +0.0102, l1_loss : +0.0590, perceptual_edge_loss : +0.0000, psnr : +18.1325, ssim : +0.5954
images_150 : Stage: [1/5], Iter: [600/2000], ftr_loss : +0.6974, nll : +0.0414, mse_loss : +0.0099, l1_loss : +0.0584, perceptual_edge_loss : +0.0000, psnr : +18.2595, ssim : +0.5999
images_150 : Stage: [1/5], Iter: [700/2000], ftr_loss : +0.6087, nll : +0.0407, mse_loss : +0.0092, l1_loss : +0.0562, perceptual_edge_loss : +0.0000, psnr : +18.5529, ssim : +0.6191
images_150 : Stage: [1/5], Iter: [800/2000], ftr_loss : +0.5992, nll : +0.0398, mse_loss : +0.0089, l1_loss : +0.0546, perceptual_edge_loss : +0.0000, psnr : +18.6903, ssim : +0.6203
images_150 : Stage: [1/5], Iter: [900/2000], ftr_loss : +0.5358, nll : +0.0393, mse_loss : +0.0087, l1_loss : +0.0539, perceptual_edge_loss : +0.0000, psnr : +18.7577, ssim : +0.6311
images_150 : Stage: [1/5], Iter: [1000/2000], ftr_loss : +0.4933, nll : +0.0388, mse_loss : +0.0080, l1_loss : +0.0505, perceptual_edge_loss : +0.0000, psnr : +19.0795, ssim : +0.6452
images_150 : Stage: [1/5], Iter: [1100/2000], ftr_loss : +0.5585, nll : +0.0381, mse_loss : +0.0089, l1_loss : +0.0544, perceptual_edge_loss : +0.0000, psnr : +18.5959, ssim : +0.6279
images_150 : Stage: [1/5], Iter: [1200/2000], ftr_loss : +0.4871, nll : +0.0376, mse_loss : +0.0079, l1_loss : +0.0503, perceptual_edge_loss : +0.0000, psnr : +18.9685, ssim : +0.6496
images_150 : Stage: [1/5], Iter: [1300/2000], ftr_loss : +0.4865, nll : +0.0369, mse_loss : +0.0078, l1_loss : +0.0501, perceptual_edge_loss : +0.0000, psnr : +19.0390, ssim : +0.6537
images_150 : Stage: [1/5], Iter: [1400/2000], ftr_loss : +0.4043, nll : +0.0365, mse_loss : +0.0077, l1_loss : +0.0498, perceptual_edge_loss : +0.0000, psnr : +19.0259, ssim : +0.6549
images_150 : Stage: [1/5], Iter: [1500/2000], ftr_loss : +0.4046, nll : +0.0359, mse_loss : +0.0077, l1_loss : +0.0500, perceptual_edge_loss : +0.0000, psnr : +18.9930, ssim : +0.6561
images_150 : Stage: [1/5], Iter: [1600/2000], ftr_loss : +0.3949, nll : +0.0354, mse_loss : +0.0075, l1_loss : +0.0488, perceptual_edge_loss : +0.0000, psnr : +19.0590, ssim : +0.6607
